addr_full,brand,brand_wikidata,city,country,email,extras,housenumber,lat,lon,name,opening_hours,phone,postcode,ref,state,store_url,street,website
"Барановичи, М1 (213 км, вблизи г.Барановичи)",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,53.1251, 25.9061,,,,,94,,,,https://www.gpnbonus.ru/
"Малаховка, Быковское, 55А",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,55.6317, 37.9771,,,,,95,,,,https://www.gpnbonus.ru/
"Саранск, 2 Промышленная, 2А",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,54.231, 45.180,,,,,96,,,,https://www.gpnbonus.ru/
"Санкт-Петербург, Дыбенко, 1",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,59.8980, 30.4455,,,,,97,,,,https://www.gpnbonus.ru/
"Москва, Б.Очаковская, 47Б",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,55.6746, 37.4394,,,,,98,,,,https://www.gpnbonus.ru/
"Гулистон, М41 (въезд в город Душанбе из Вахдата)",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,38.5536, 68.8830,,,,,99,,,,https://www.gpnbonus.ru/
"Первоуральск, Московское (9-й км)",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,56.8929, 59.9835,,,,,100,,,,https://www.gpnbonus.ru/
"Новосибирск, Объединения, 61",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,55.0986, 82.9796,,,,,101,,,,https://www.gpnbonus.ru/
"Омск, Заводская, 12",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,55.0498, 73.2656,,,,,102,,,,https://www.gpnbonus.ru/
"Бишкек, Чуй, 39А",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,42.8754, 74.6502,,,,,103,,,,https://www.gpnbonus.ru/
"Ростов, М8 Холмогоры (3-ий Микрорайон)",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,57.2116, 39.443,,,,,104,,,,https://www.gpnbonus.ru/
"Горячий Ключ, Кучерявого, 64Д",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,44.6371, 39.1165,,,,,105,,,,https://www.gpnbonus.ru/
"Нур-Султан, Кошкарбаева, 70",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,51.1454, 71.5304,,,,,106,,,,https://www.gpnbonus.ru/
"Сергиев Посад, Ярославское шоссе (уч. 24)",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,56.3429, 38.1695,,,,,107,,,,https://www.gpnbonus.ru/
"Саранск, Севастопольская, 2 Г",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,54.170, 45.207,,,,,108,,,,https://www.gpnbonus.ru/
"Комиссарово, Таврическая, 1, 1",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,55.3001, 86.0307,,,,,109,,,,https://www.gpnbonus.ru/
"Москва, Б.Почтовая, 26, соорр. 1",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,55.7785, 37.6973,,,,,110,,,,https://www.gpnbonus.ru/
"Сабо, М41 (Круг Шахринава)",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,38.5767, 68.3347,,,,,111,,,,https://www.gpnbonus.ru/
"Новосибирск, Аникина, 27",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,54.9603, 82.9406,,,,,112,,,,https://www.gpnbonus.ru/
"Пионер, Ленина, 9",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,55.3304, 85.9316,,,,,113,,,,https://www.gpnbonus.ru/
"Слободка, М8 (164 км.)",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,56.8819, 39.0863,,,,,114,,,,https://www.gpnbonus.ru/
